district,incumbent,winner,status,dem_votes,gop_votes,other_votes,dem_pct,gop_pct,other_pct,margin,swing_from_pres20,pct_of_2020_turnout
MO-01,1,Cori Bush (D),Democratic hold,160999,53767,6192,0.729,0.243,0.028,D+48.5,R+9.8,0.62
MO-02,-1,Ann Wagner (R),Republican hold,135895,173277,6494,0.431,0.549,0.021,R+11.8,R+4.1,0.72
MO-03,-1,Blaine Luetkemeyer (R),Republican hold,96851,180746,0,0.349,0.651,0,R+30.2,R+4.1,0.7
MO-04,0,Mark Alford (R),Republican hold,67069,181890,6120,0.263,0.713,0.024,R+45,R+5.4,0.68
MO-05,1,Emanuel Cleaver (D),Democratic hold,140688,84008,5859,0.61,0.364,0.025,D+24.6,R+1.7,0.66
MO-06,-1,Sam Graves (R),Republican hold,72253,184865,5774,0.275,0.703,0.022,R+42.8,R+5.7,0.7
MO-07,0,Eric Burlison (R),Republican hold,67485,178592,5870,0.268,0.709,0.023,R+44.1,R+2.7,0.69
MO-08,-1,Jason Smith (R),Republican hold,53738,186472,5185,0.219,0.76,0.021,R+54.1,R+2.8,0.67
MS-01,-1,Trent Kelly (R),Republican hold,45238,122151,,0.27,0.73,0,R+45.9,R+14.3,0.5
MS-02,1,Bennie Thompson (D),Democratic hold,108285,71884,,0.601,0.399,0,D+20.2,R+5.9,0.54
MS-03,-1,Michael Guest (R),Republican hold,54803,132481,,0.293,0.707,0,R+41.5,R+17.1,0.54
MS-04,0,Mike Ezell (R),Republican hold,42876,127813,3569,0.246,0.733,0.02,R+48.7,R+10.8,0.58
MT-01,0,Ryan Zinke (R),Republican gain,115265,123102,9593,0.465,0.496,0.039,R+3.2,D+3.7,0.78
MT-02,-1,Matt Rosendale (R),Republican hold,43480,121979,50213,0.202,0.566,0.233,R+36.4,R+9.6,0.75
NC-01,0,Don Davis (R),Democratic hold,134996,122780,0,0.524,0.476,0,D+4.7,R+2.6,0.66
NC-02,1,Deborah Ross (D),Democratic hold,190714,104155,0,0.647,0.353,0,D+29.4,D+0.7,0.71
NC-03,-1,Greg Murphy (R),Republican hold,82378,166520,0,0.331,0.669,0,R+33.8,R+8.5,0.68
NC-04,0,Valerie Foushee (D),Democratic hold,194983,96442,0,0.669,0.331,0,D+33.8,R+1.2,0.72
NC-05,-1,Virginia Foxx (R),Republican hold,102269,175279,0,0.368,0.632,0,R+26.3,R+5.1,0.69
NC-06,1,Kathy Manning (D),Democratic hold,139553,116635,2810,0.539,0.45,0.011,D+8.8,R+3.5,0.66
NC-07,-1,David Rouzer (R),Republican hold,120222,164047,0,0.423,0.577,0,R+15.4,R+2.7,0.7
NC-08,-1,Dan Bishop (R),Republican hold,79192,183998,0,0.301,0.699,0,R+39.8,R+5.8,0.67
NC-09,-1,Richard Hudson (R),Republican hold,101202,131453,0,0.435,0.565,0,R+13,R+5,0.65
NC-10,-1,Patrick McHenry (R),Republican hold,73174,194681,352,0.273,0.726,0.001,R+45.3,R+5.8,0.68
NC-11,0,Chuck Edwards (R),Republican hold,144165,174232,5515,0.445,0.538,0.017,R+9.3,D+0.9,0.74
NC-12,1,Alma Adams (D),Democratic hold,140494,83414,0,0.627,0.373,0,D+25.5,R+4.6,0.61
NC-13,0,Wiley Nickel (D),Democratic gain,143090,134256,0,0.516,0.484,0,D+3.2,D+1.5,0.7
NC-14,0,Jeff Jackson (D),Democratic gain,148738,109014,0,0.577,0.423,0,D+15.4,R+1,0.66
ND-01,-1,Kelly Armstrong (R),Republican hold,0,148399,90187,0,0.622,0.378,R+62.2,R+28.9,0.66
NE-01,-1,Mike Flood (R),Republican hold,93929,129236,,0.421,0.579,0,R+15.8,R+4.8,0.71
NE-02,-1,Don Bacon (R),Republican hold,106807,112663,,0.487,0.513,0,R+2.7,R+9,0.7
NE-03,-1,Adrian Smith (R),Republican hold,34836,172700,13016,0.158,0.783,0.059,R+62.5,R+10.7,0.68
NH-01,1,Chris Pappas (D),Democratic hold,167391,142229,342,0.54,0.459,0.001,D+8.1,D+2.2,0.77
NH-02,1,Annie Kuster (D),Democratic hold,171636,135579,369,0.558,0.441,0.001,D+11.7,D+2.9,0.77
NJ-01,1,Donald Norcross (D),Democratic hold,139559,78794,5531,0.623,0.352,0.025,D+27.1,D+2.7,0.56
NJ-02,-1,Jeff Van Drew (R),Republican hold,94522,139217,2745,0.4,0.589,0.012,R+18.9,R+13.9,0.58
NJ-03,1,Andy Kim (D),Democratic hold,150498,118415,2463,0.555,0.436,0.009,D+11.8,R+2.3,0.62
NJ-04,-1,Chris Smith (R),Republican hold,81233,173288,4441,0.314,0.669,0.017,R+35.5,R+13.1,0.6
NJ-05,1,Josh Gottheimer (D),Democratic hold,145559,117873,2511,0.547,0.443,0.009,D+10.4,R+2,0.62
NJ-06,1,Frank Pallone (D),Democratic hold,106238,75839,2842,0.575,0.41,0.015,D+16.4,R+3.2,0.55
NJ-07,1,"Tom Kean, Jr. (R)",Republican gain,150701,159392,,0.486,0.514,0,R+2.8,R+6.5,0.67
NJ-08,0,Robert Menendez (D),Democratic hold,70837,23540,2815,0.729,0.242,0.029,D+48.7,D+3.9,0.41
NJ-09,1,Bill Pascrell (D),Democratic hold,82115,65214,2163,0.549,0.436,0.014,D+11.3,R+7.7,0.48
NJ-10,1,Donald Payne Jr. (D),Democratic hold,99613,25792,2957,0.776,0.201,0.023,D+57.5,R+5,0.44
NJ-11,1,Mikie Sherrill (D),Democratic hold,161436,109952,2276,0.59,0.402,0.008,D+18.8,D+2,0.63
